Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SMA_20,EMA_20,RSI_14,Bollinger_Upper,Bollinger_Lower,Return,Lag1_Return,Volatility_10,MACD,MACD_signal
2019-07-19,ADANIPORTS,EQ,412.4,414.55,416.65,401.75,405.25,405.5,409.54,1894624,77593334895000.0,42890.0,463190,0.2445,410.03249999999997,410.7156980405225,43.88318863456984,421.04069192564293,399.024308074357,-0.01673132880698347,-0.011149742237141935,0.014701137244385907,0.7589992212377297,0.9880218427440794
2019-07-22,ADANIPORTS,EQ,405.5,403.8,409.5,396.5,406.05,407.2,404.46,1941825,78538386365000.0,34482.0,476512,0.2454,410.09250000000003,410.38086965571085,44.66926070038907,421.0209406841772,399.16405931582284,0.004192355117139224,-0.01673132880698347,0.01405367298244328,0.40621041428448734,0.8716595570521611
2019-07-23,ADANIPORTS,EQ,407.2,409.0,409.0,398.0,400.3,399.75,400.99,2835920,113717962765000.02,43347.0,1274810,0.4495,409.7975,409.3684058789765,39.30839802399436,421.5205081911914,398.0744918088086,-0.018295677799607057,0.004192355117139224,0.014255147223676356,-0.46912224545707204,0.6035031965503146
2019-07-24,ADANIPORTS,EQ,399.75,400.0,400.55,378.0,379.45,380.8,385.8,4748109,183184043760000.0,62904.0,1757153,0.3701,408.09000000000003,406.64760531907393,31.013363028953236,425.3116693364776,390.86833066352244,-0.047404627892432716,-0.018295677799607057,0.020375347898851322,-2.661258976075544,-0.04944923797485712
2019-07-25,ADANIPORTS,EQ,380.8,380.8,385.55,377.0,380.0,380.35,381.4,2998970,114380674409999.98,47163.0,738965,0.2464,406.7825,404.14307147916213,35.79691516709511,428.0158966095181,385.54910339048195,-0.0011817226890755705,-0.047404627892432716,0.01846373633680319,-4.384314716861297,-0.9164223337521451
2019-07-26,ADANIPORTS,EQ,380.35,380.65,384.4,377.2,380.6,381.65,381.18,2701597,102979150780000.0,46337.0,1252491,0.4636,405.355,402.0008741954324,39.15379449294824,429.2881503193518,381.4218496806482,0.003417904561587859,-0.0011817226890755705,0.018278979830921187,-5.580619759165074,-1.849261818834731
2019-07-29,ADANIPORTS,EQ,381.65,381.55,382.8,372.0,374.0,373.85,376.1,1888927,71042416820000.0,30775.0,559921,0.2964,403.38500000000005,399.3198385577722,29.247168554297104,430.812974578373,375.9570254216271,-0.020437573693174227,0.003417904561587859,0.018582724330739445,-7.07652120531003,-2.8947136961297906
2019-07-30,ADANIPORTS,EQ,373.85,376.6,379.9,371.1,373.85,373.45,375.65,2312161,86855413390000.0,34977.0,676447,0.2926,401.355,396.8560444094129,29.09211398277,431.34917311830486,371.3608268816952,-0.0010699478400428841,-0.020437573693174227,0.015709454566678636,-8.199788478440041,-3.955728652591841
2019-07-31,ADANIPORTS,EQ,373.45,373.0,381.8,368.65,377.6,377.55,376.37,2429787,91448764370000.0,46164.0,838299,0.345,399.4875,395.01737351327836,25.331472435450095,430.56228034809646,368.41271965190356,0.010978712009639846,-0.0010699478400428841,0.017003398133333448,-8.659330775297462,-4.896449077132965
2019-08-01,ADANIPORTS,EQ,377.55,376.0,377.85,366.3,371.15,371.1,371.56,1720133,63913615710000.0,50599.0,612696,0.3561999999999999,397.2975,392.73952841677567,20.80581241743721,429.9332323544922,364.66176764550784,-0.017083829956297203,0.010978712009639846,0.017159800542666376,-9.435219118700957,-5.804203085446564
